date,AWND,PRCP,TMAX,TMIN,daily_consumption,is_low_consumption_outlier
2006-12-16,2.5,0.0,10.6,5.0,1209.176,False
2006-12-17,2.6,0.0,13.3,5.6,3390.46,False
2006-12-18,2.4,0.0,15.0,6.7,2203.826,False
2006-12-19,2.4,0.0,7.2,2.2,1666.194,False
2006-12-20,2.4,0.0,7.2,1.1,2225.748,False
2006-12-21,2.3,0.0,12.2,3.3,1716.624,False
2006-12-22,2.3,11.9,9.4,3.9,2341.338,False
2006-12-23,3.0,19.8,15.0,8.9,4773.386,False
2006-12-24,3.4,0.0,11.1,6.1,2550.012,False
2006-12-25,2.2,9.4,7.2,3.9,2743.12,False
2006-12-26,3.3,2.0,11.7,6.1,3934.11,False
2006-12-27,3.4,0.0,6.1,3.3,1528.76,False
2006-12-28,2.3,0.0,8.9,2.2,2072.638,False
2006-12-29,2.1,0.0,8.9,2.8,3174.392,False
2006-12-30,2.1,0.0,8.3,1.1,2789.302,False
2006-12-31,2.1,0.0,7.2,0.6,3494.196,False
2007-01-01,1.7,38.6,13.3,7.2,2749.004,False
2007-01-02,3.8,0.0,10.0,5.0,1269.236,False
2007-01-03,2.6,0.0,11.1,3.3,1014.054,False
2007-01-04,3.6,0.0,13.3,6.1,3259.412,False
2007-01-05,2.6,0.8,16.7,11.7,2713.364,False
2007-01-06,3.4,0.3,22.2,12.2,1508.378,False
2007-01-07,2.7,4.3,12.2,6.7,2447.62,False
2007-01-08,3.6,31.8,13.3,3.3,2241.36,False
2007-01-09,3.1,0.0,6.7,1.1,1869.054,False
2007-01-10,3.6,0.0,2.2,-1.7,2154.8,False
2007-01-11,2.6,0.0,3.3,-3.3,2255.194,False
2007-01-12,3.4,0.3,8.9,2.8,1461.296,False
2007-01-13,2.6,1.5,13.3,7.2,3186.814,False
2007-01-14,1.9,2.3,7.8,5.0,3007.816,False
2007-01-15,1.7,1.5,13.9,4.4,2148.678,False
2007-01-16,4.3,0.0,12.8,-5.6,1686.404,False
2007-01-17,2.9,0.0,-1.7,-7.2,2847.688,False
2007-01-18,1.4,2.3,2.8,-3.9,1821.462,False
2007-01-19,3.4,2.3,5.0,-0.6,1480.44,False
2007-01-20,5.1,0.3,0.0,-6.1,3133.732,False
2007-01-21,1.6,0.0,-1.7,-7.2,3407.262,False
2007-01-22,0.8,0.0,0.6,-2.8,2180.494,False
2007-01-23,2.8,0.0,2.2,-2.2,1777.64,False
2007-01-24,2.6,0.0,4.4,0.0,2987.854,False
2007-01-25,2.2,0.3,1.1,-9.4,1596.344,False
2007-01-26,1.0,0.0,-5.6,-12.8,1617.972,False
2007-01-27,1.7,0.3,5.0,-6.7,2044.072,False
2007-01-28,1.7,1.3,5.0,-1.1,3090.204,False
2007-01-29,3.9,0.3,-1.1,-6.1,1982.664,False
2007-01-30,2.2,2.5,1.7,-6.1,1707.798,False
2007-01-31,3.6,1.5,0.6,-3.9,2363.752,False
2007-02-01,2.4,0.0,1.1,-3.3,1824.76,False
2007-02-02,1.5,5.8,3.3,0.0,1667.736,False
2007-02-03,3.9,0.0,1.7,-5.0,4029.722,False
2007-02-04,4.5,0.0,-2.2,-8.3,3595.94,False
2007-02-05,5.0,0.0,-7.8,-13.3,1645.28,False
2007-02-06,4.0,0.0,-3.9,-11.7,1273.48,False
2007-02-07,3.4,0.0,-3.9,-11.1,2328.018,False
2007-02-08,3.8,0.0,-2.2,-10.0,1801.414,False
2007-02-09,4.8,0.0,0.0,-7.8,1620.198,False
2007-02-10,2.9,0.0,0.6,-5.0,2829.328,False
2007-02-11,2.6,0.0,0.6,-7.2,3571.228,False
2007-02-12,2.6,0.0,4.4,-2.2,1877.61,False
2007-02-13,3.6,0.8,0.0,-5.6,1414.546,False
2007-02-14,6.2,23.9,-1.7,-8.9,2498.672,False
2007-02-15,4.7,0.0,-4.4,-9.4,1985.346,False
2007-02-16,4.4,0.0,-1.7,-10.0,1702.528,False
2007-02-17,2.9,0.0,1.7,-7.2,2076.912,False
2007-02-18,3.4,0.0,1.1,-7.8,3829.762,False
2007-02-19,4.3,0.0,-1.1,-11.1,2186.614,False
2007-02-20,2.7,2.5,8.3,-1.7,3149.928,False
2007-02-21,1.3,0.3,9.4,3.9,2072.874,False
2007-02-22,2.4,5.3,7.2,2.2,3369.478,False
2007-02-23,5.2,0.0,3.9,-5.6,1313.48,False
2007-02-24,4.3,0.0,5.6,-6.7,714.922,False
2007-02-25,1.8,4.8,2.8,-4.4,501.74,False
2007-02-26,2.5,7.1,2.2,-1.1,568.484,False
2007-02-27,0.9,0.0,6.1,1.1,518.112,False
2007-02-28,2.2,0.0,7.8,1.7,520.774,False
