date,AWND,PRCP,TMAX,TMIN,daily_consumption,is_low_consumption_outlier,year,month,day_of_week,day_of_year,is_weekend,temperature_range,temperature_mean,heating_degree_days,cooling_degree_days
2006-12-16,2.5,0.0,10.6,5.0,1209.176,False,2006,12,5,350,True,5.6,7.8,10.2,0.0
2006-12-17,2.6,0.0,13.3,5.6,3390.46,False,2006,12,6,351,True,7.700000000000001,9.45,8.55,0.0
2006-12-18,2.4,0.0,15.0,6.7,2203.826,False,2006,12,0,352,False,8.3,10.85,7.15,0.0
2006-12-19,2.4,0.0,7.2,2.2,1666.194,False,2006,12,1,353,False,5.0,4.7,13.3,0.0
2006-12-20,2.4,0.0,7.2,1.1,2225.748,False,2006,12,2,354,False,6.1,4.15,13.85,0.0
2006-12-21,2.3,0.0,12.2,3.3,1716.624,False,2006,12,3,355,False,8.899999999999999,7.75,10.25,0.0
2006-12-22,2.3,11.9,9.4,3.9,2341.338,False,2006,12,4,356,False,5.5,6.65,11.35,0.0
2006-12-23,3.0,19.8,15.0,8.9,4773.386,False,2006,12,5,357,True,6.1,11.95,6.050000000000001,0.0
2006-12-24,3.4,0.0,11.1,6.1,2550.012,False,2006,12,6,358,True,5.0,8.6,9.4,0.0
2006-12-25,2.2,9.4,7.2,3.9,2743.12,False,2006,12,0,359,False,3.3000000000000003,5.55,12.45,0.0
2006-12-26,3.3,2.0,11.7,6.1,3934.11,False,2006,12,1,360,False,5.6,8.899999999999999,9.100000000000001,0.0
2006-12-27,3.4,0.0,6.1,3.3,1528.76,False,2006,12,2,361,False,2.8,4.699999999999999,13.3,0.0
2006-12-28,2.3,0.0,8.9,2.2,2072.638,False,2006,12,3,362,False,6.7,5.550000000000001,12.45,0.0
2006-12-29,2.1,0.0,8.9,2.8,3174.392,False,2006,12,4,363,False,6.1000000000000005,5.85,12.15,0.0
2006-12-30,2.1,0.0,8.3,1.1,2789.302,False,2006,12,5,364,True,7.200000000000001,4.7,13.3,0.0
2006-12-31,2.1,0.0,7.2,0.6,3494.196,False,2006,12,6,365,True,6.6000000000000005,3.9,14.1,0.0
2007-01-01,1.7,38.6,13.3,7.2,2749.004,False,2007,1,0,1,False,6.1000000000000005,10.25,7.75,0.0
2007-01-02,3.8,0.0,10.0,5.0,1269.236,False,2007,1,1,2,False,5.0,7.5,10.5,0.0
2007-01-03,2.6,0.0,11.1,3.3,1014.054,False,2007,1,2,3,False,7.8,7.199999999999999,10.8,0.0
2007-01-04,3.6,0.0,13.3,6.1,3259.412,False,2007,1,3,4,False,7.200000000000001,9.7,8.3,0.0
2007-01-05,2.6,0.8,16.7,11.7,2713.364,False,2007,1,4,5,False,5.0,14.2,3.8000000000000007,0.0
2007-01-06,3.4,0.3,22.2,12.2,1508.378,False,2007,1,5,6,True,10.0,17.2,0.8000000000000007,0.0
2007-01-07,2.7,4.3,12.2,6.7,2447.62,False,2007,1,6,7,True,5.499999999999999,9.45,8.55,0.0
2007-01-08,3.6,31.8,13.3,3.3,2241.36,False,2007,1,0,8,False,10.0,8.3,9.7,0.0
2007-01-09,3.1,0.0,6.7,1.1,1869.054,False,2007,1,1,9,False,5.6,3.9000000000000004,14.1,0.0
2007-01-10,3.6,0.0,2.2,-1.7,2154.8,False,2007,1,2,10,False,3.9000000000000004,0.2500000000000001,17.75,0.0
2007-01-11,2.6,0.0,3.3,-3.3,2255.194,False,2007,1,3,11,False,6.6,0.0,18.0,0.0
2007-01-12,3.4,0.3,8.9,2.8,1461.296,False,2007,1,4,12,False,6.1000000000000005,5.85,12.15,0.0
2007-01-13,2.6,1.5,13.3,7.2,3186.814,False,2007,1,5,13,True,6.1000000000000005,10.25,7.75,0.0
2007-01-14,1.9,2.3,7.8,5.0,3007.816,False,2007,1,6,14,True,2.8,6.4,11.6,0.0
2007-01-15,1.7,1.5,13.9,4.4,2148.678,False,2007,1,0,15,False,9.5,9.15,8.85,0.0
2007-01-16,4.3,0.0,12.8,-5.6,1686.404,False,2007,1,1,16,False,18.4,3.6000000000000005,14.399999999999999,0.0
2007-01-17,2.9,0.0,-1.7,-7.2,2847.688,False,2007,1,2,17,False,5.5,-4.45,22.45,0.0
2007-01-18,1.4,2.3,2.8,-3.9,1821.462,False,2007,1,3,18,False,6.699999999999999,-0.55,18.55,0.0
2007-01-19,3.4,2.3,5.0,-0.6,1480.44,False,2007,1,4,19,False,5.6,2.2,15.8,0.0
2007-01-20,5.1,0.3,0.0,-6.1,3133.732,False,2007,1,5,20,True,6.1,-3.05,21.05,0.0
2007-01-21,1.6,0.0,-1.7,-7.2,3407.262,False,2007,1,6,21,True,5.5,-4.45,22.45,0.0
2007-01-22,0.8,0.0,0.6,-2.8,2180.494,False,2007,1,0,22,False,3.4,-1.0999999999999999,19.1,0.0
2007-01-23,2.8,0.0,2.2,-2.2,1777.64,False,2007,1,1,23,False,4.4,0.0,18.0,0.0
2007-01-24,2.6,0.0,4.4,0.0,2987.854,False,2007,1,2,24,False,4.4,2.2,15.8,0.0
2007-01-25,2.2,0.3,1.1,-9.4,1596.344,False,2007,1,3,25,False,10.5,-4.15,22.15,0.0
2007-01-26,1.0,0.0,-5.6,-12.8,1617.972,False,2007,1,4,26,False,7.200000000000001,-9.2,27.2,0.0
2007-01-27,1.7,0.3,5.0,-6.7,2044.072,False,2007,1,5,27,True,11.7,-0.8500000000000001,18.85,0.0
2007-01-28,1.7,1.3,5.0,-1.1,3090.204,False,2007,1,6,28,True,6.1,1.95,16.05,0.0
2007-01-29,3.9,0.3,-1.1,-6.1,1982.664,False,2007,1,0,29,False,5.0,-3.5999999999999996,21.6,0.0
2007-01-30,2.2,2.5,1.7,-6.1,1707.798,False,2007,1,1,30,False,7.8,-2.1999999999999997,20.2,0.0
2007-01-31,3.6,1.5,0.6,-3.9,2363.752,False,2007,1,2,31,False,4.5,-1.65,19.65,0.0
2007-02-01,2.4,0.0,1.1,-3.3,1824.76,False,2007,2,3,32,False,4.4,-1.0999999999999999,19.1,0.0
2007-02-02,1.5,5.8,3.3,0.0,1667.736,False,2007,2,4,33,False,3.3,1.65,16.35,0.0
2007-02-03,3.9,0.0,1.7,-5.0,4029.722,False,2007,2,5,34,True,6.7,-1.65,19.65,0.0
2007-02-04,4.5,0.0,-2.2,-8.3,3595.94,False,2007,2,6,35,True,6.1000000000000005,-5.25,23.25,0.0
2007-02-05,5.0,0.0,-7.8,-13.3,1645.28,False,2007,2,0,36,False,5.500000000000001,-10.55,28.55,0.0
2007-02-06,4.0,0.0,-3.9,-11.7,1273.48,False,2007,2,1,37,False,7.799999999999999,-7.8,25.8,0.0
2007-02-07,3.4,0.0,-3.9,-11.1,2328.018,False,2007,2,2,38,False,7.199999999999999,-7.5,25.5,0.0
2007-02-08,3.8,0.0,-2.2,-10.0,1801.414,False,2007,2,3,39,False,7.8,-6.1,24.1,0.0
2007-02-09,4.8,0.0,0.0,-7.8,1620.198,False,2007,2,4,40,False,7.8,-3.9,21.9,0.0
2007-02-10,2.9,0.0,0.6,-5.0,2829.328,False,2007,2,5,41,True,5.6,-2.2,20.2,0.0
2007-02-11,2.6,0.0,0.6,-7.2,3571.228,False,2007,2,6,42,True,7.8,-3.3000000000000003,21.3,0.0
2007-02-12,2.6,0.0,4.4,-2.2,1877.61,False,2007,2,0,43,False,6.6000000000000005,1.1,16.9,0.0
2007-02-13,3.6,0.8,0.0,-5.6,1414.546,False,2007,2,1,44,False,5.6,-2.8,20.8,0.0
